Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days,Second_Booster_Vax_pct_agegroup,Second_Booster_Pop_Pct_known,Second_Booster_Pop_Pct_US,Second_Booster_Pop_Pct_known_Last14Days,Second_Booster,Second_Booster_Last14Days,Bivalent_Booster,Bivalent_Booster_Pop_Pct_agegroup,Bivalent_Booster_Pop_Pct_known
5/10/2023,Race_eth_NHAIAN,"1,911,855",0.9,0.7,"1,588,653",78.5,65.2,0.9,0.7,50.5,0.8,0.9,1.4,"801,715",914,50.1,0.6,0.5,0.9,"202,047",592,"378,599",15.5,0.7
5/10/2023,Age_unknown,"9,344",0,0,"2,491",,,0,0,0.2,0,0,0,4,1,0,0,0,0,0,0,0,,0
5/10/2023,Race_eth_NHAsian,"13,983,704",6.8,5.2,"12,609,000",73.6,66.4,6.9,5.5,70,8.3,6.9,9.6,"8,827,397","6,400",56.2,6.1,5.5,7.1,"2,027,791","4,897","4,200,667",22.1,8.3
5/10/2023,Race_eth_NHMult_Oth,"12,665,103",6.2,4.7,"11,389,487",,,6.2,4.9,58.8,6.3,6.2,7.3,"6,699,407","4,837",54.9,6.1,5.6,6,"2,053,261","4,104","3,203,837",,6.3
5/10/2023,Race_eth_NHBlack,"21,157,654",10.3,7.8,"18,545,870",51.3,45,10.1,8,49.4,8.6,10.1,11.5,"9,166,466","7,656",47.9,8.2,7.4,10.8,"2,727,568","7,417","3,900,005",9.5,7.7
5/10/2023,Sex_Male,"128,162,118",47.9,47.4,"109,144,882",78.4,66.8,47.6,47.3,49.2,45.5,47.6,47.3,"53,713,822","35,823",52.2,44.7,44.7,47.4,"16,426,586","35,849","25,530,530",15.6,45.3
5/10/2023,Race_eth_NHNHOPI,"666,432",0.3,0.2,"598,992",71.8,64.5,0.3,0.3,52,0.3,0.3,0.4,"311,335",234,49.7,0.2,0.2,0.3,"69,896",181,"117,604",12.7,0.2
5/10/2023,Ages_25-39_yrs,"57,069,471",21.1,21.1,"47,567,709",83.4,69.6,20.6,20.6,40.1,16.1,20.6,12.3,"19,094,001","9,317",,,,,,,"7,348,112",10.7,13
5/10/2023,Ages_40-49_yrs,"36,300,944",13.4,13.4,"31,261,428",89,76.6,13.6,13.6,48.1,12.7,13.6,7.3,"15,049,281","5,562",,,,,,,"5,856,011",14.4,10.4
5/10/2023,Ages_65-74_yrs,"34,959,727",12.9,12.9,"30,816,762",95,95,13.4,13.4,72.1,18.8,13.4,19.9,"22,227,920","15,109",58.9,35.6,35.6,41.7,"13,094,837","31,550","13,352,337",41.9,23.6
