FIPS Code,County Name,"% Estimated Hesitant or Unsure - May 26 - June 7, 2021","% Estimated Hesitant-  May 26 - June 7, 2021","% Estimated Strongly Hesitant-  May 26 - June 7, 2021"
01001,Autauga AL,22%,17%,13%
01003,Baldwin AL,20%,15%,12%
01005,Barbour AL,23%,17%,13%
01007,Bibb AL,25%,18%,14%
01009,Blount AL,24%,19%,14%
01011,Bullock AL,23%,17%,13%
01013,Butler AL,23%,18%,13%
01015,Calhoun AL,24%,18%,14%
01017,Chambers AL,24%,18%,14%
01019,Cherokee AL,24%,18%,14%
01021,Chilton AL,24%,18%,14%
01023,Choctaw AL,24%,17%,13%
01025,Clarke AL,24%,17%,13%
01027,Clay AL,24%,18%,14%
01029,Cleburne AL,24%,18%,14%
01031,Coffee AL,23%,18%,13%
01033,Colbert AL,23%,17%,13%
01035,Conecuh AL,24%,17%,13%
01037,Coosa AL,24%,18%,14%
01039,Covington AL,23%,18%,13%
01041,Crenshaw AL,23%,18%,13%
01043,Cullman AL,23%,18%,14%
01045,Dale AL,24%,18%,13%
01047,Dallas AL,25%,18%,14%
01049,DeKalb AL,25%,19%,15%
01051,Elmore AL,22%,17%,13%
01053,Escambia AL,24%,17%,13%
01055,Etowah AL,24%,18%,14%
01057,Fayette AL,24%,19%,14%
01059,Franklin AL,23%,17%,13%
01061,Geneva AL,24%,18%,13%
01063,Greene AL,25%,18%,14%
01065,Hale AL,25%,18%,14%
01067,Henry AL,24%,18%,13%
01069,Houston AL,24%,18%,13%
01071,Jackson AL,25%,19%,15%
01073,Jefferson AL,20%,15%,11%
01075,Lamar AL,24%,19%,14%
01077,Lauderdale AL,23%,17%,13%
01079,Lawrence AL,22%,17%,13%
01081,Lee AL,19%,14%,11%
01083,Limestone AL,20%,16%,12%
01085,Lowndes AL,22%,17%,13%
01087,Macon AL,23%,17%,13%
01089,Madison AL,19%,14%,11%
01091,Marengo AL,25%,18%,14%
01093,Marion AL,24%,18%,14%
01095,Marshall AL,21%,16%,12%
01097,Mobile AL,23%,17%,13%
01099,Monroe AL,24%,17%,13%
01101,Montgomery AL,21%,15%,11%
01103,Morgan AL,22%,17%,13%
01105,Perry AL,25%,18%,14%
01107,Pickens AL,22%,17%,13%
01109,Pike AL,23%,17%,13%
01111,Randolph AL,24%,18%,14%
01113,Russell AL,23%,17%,13%
01115,St. Clair AL,24%,19%,14%
01117,Shelby AL,18%,14%,11%
01119,Sumter AL,25%,18%,14%
01121,Talladega AL,24%,18%,14%
01123,Tallapoosa AL,24%,18%,14%
01125,Tuscaloosa AL,22%,16%,12%
01127,Walker AL,24%,19%,14%
01129,Washington AL,24%,17%,13%
01131,Wilcox AL,24%,17%,13%
01133,Winston AL,23%,18%,14%
02013,Aleutians East Borough AK,29%,24%,17%
02016,Aleutians West Census Area AK,29%,24%,17%
02020,Anchorage Borough AK,20%,16%,12%
02050,Bethel Census Area AK,29%,24%,17%
02060,Bristol Bay Borough AK,29%,24%,17%
02068,Denali Borough AK,23%,19%,14%
02070,Dillingham Census Area AK,29%,24%,17%
02090,Fairbanks North Star Borough AK,23%,19%,14%
02100,Haines Borough AK,23%,19%,14%
02105,Hoonah-Angoon Census Area,29%,24%,17%
02110,Juneau Borough AK,23%,19%,14%
02122,Kenai Peninsula Borough AK,22%,19%,14%
02130,Ketchikan Gateway Borough AK,23%,19%,14%
02150,Kodiak Island Borough AK,29%,24%,17%
02164,Lake and Peninsula Borough AK,29%,24%,17%
02170,Matanuska-Susitna Borough AK,22%,19%,14%
02180,Nome Census Area AK,29%,24%,17%
02185,North Slope Borough AK,29%,24%,17%
02188,Northwest Arctic Borough AK,29%,24%,17%
02195,Petersburg Census Area,29%,24%,17%
02198,Prince of Wales-Hyder Census Area,29%,24%,17%
02220,Sitka Borough AK,29%,24%,17%
02230,Skagway Municipality,23%,19%,14%
02240,Southeast Fairbanks Census Area AK,23%,19%,14%
02261,Valdez-Cordova Census Area AK,23%,19%,14%
02270,Wade Hampton Census Area AK (D),29%,24%,17%
02275,Wrangell City and Borough,29%,24%,17%
02282,Yakutat Borough,29%,24%,17%
02290,Yukon-Koyukuk Census Area AK,29%,24%,17%
04001,Apache AZ,32%,21%,16%
04003,Cochise AZ,22%,14%,11%
04005,Coconino AZ,25%,16%,12%
04007,Gila AZ,24%,16%,13%
04009,Graham AZ,24%,16%,13%
04011,Greenlee AZ,24%,16%,13%
04012,La Paz AZ,23%,15%,12%
04013,Maricopa AZ,21%,14%,10%
04015,Mohave AZ,23%,15%,12%
04017,Navajo AZ,32%,21%,16%
04019,Pima AZ,21%,14%,10%
04021,Pinal AZ,24%,16%,13%
04023,Santa Cruz AZ,22%,14%,11%
04025,Yavapai AZ,20%,14%,11%
04027,Yuma AZ,24%,15%,11%
05001,Arkansas AR,26%,21%,14%
05003,Ashley AR,28%,22%,15%
05005,Baxter AR,24%,20%,13%
05007,Benton AR,22%,18%,12%
05009,Boone AR,24%,20%,13%
05011,Bradley AR,28%,22%,15%
05013,Calhoun AR,25%,20%,13%
05015,Carroll AR,24%,20%,13%
05017,Chicot AR,28%,22%,15%
05019,Clark AR,25%,20%,13%
05021,Clay AR,26%,21%,14%
05023,Cleburne AR,27%,22%,15%
05025,Cleveland AR,28%,22%,15%
05027,Columbia AR,25%,20%,13%
05029,Conway AR,26%,21%,14%
05031,Craighead AR,26%,21%,14%
05033,Crawford AR,25%,21%,13%
05035,Crittenden AR,27%,22%,14%
05037,Cross AR,29%,23%,15%
05039,Dallas AR,25%,20%,13%
05041,Desha AR,28%,22%,15%
05043,Drew AR,28%,22%,15%
05045,Faulkner AR,26%,21%,14%
05047,Franklin AR,27%,22%,14%
05049,Fulton AR,27%,22%,15%
05051,Garland AR,25%,20%,13%
05053,Grant AR,26%,20%,13%
05055,Greene AR,26%,21%,14%
05057,Hempstead AR,26%,21%,14%
05059,Hot Spring AR,25%,20%,13%
05061,Howard AR,27%,22%,14%
05063,Independence AR,27%,22%,15%
05065,Izard AR,27%,22%,15%
05067,Jackson AR,28%,23%,15%
05069,Jefferson AR,26%,20%,13%
05071,Johnson AR,26%,21%,14%
05073,Lafayette AR,26%,21%,14%
05075,Lawrence AR,26%,21%,14%
05077,Lee AR,29%,23%,15%
05079,Lincoln AR,28%,22%,15%
05081,Little River AR,26%,21%,14%
05083,Logan AR,27%,22%,14%
05085,Lonoke AR,26%,21%,14%
05087,Madison AR,24%,20%,13%
05089,Marion AR,24%,20%,13%
05091,Miller AR,26%,21%,14%
05093,Mississippi AR,27%,22%,14%
05095,Monroe AR,29%,23%,15%
05097,Montgomery AR,25%,20%,13%
05099,Nevada AR,26%,21%,14%
05101,Newton AR,24%,20%,13%
05103,Ouachita AR,25%,20%,13%
05105,Perry AR,26%,21%,14%
05107,Phillips AR,29%,23%,15%
05109,Pike AR,26%,21%,14%
05111,Poinsett AR,29%,23%,15%
05113,Polk AR,27%,22%,14%
05115,Pope AR,26%,21%,14%
05117,Prairie AR,28%,23%,15%
05119,Pulaski AR,23%,18%,11%
05121,Randolph AR,26%,21%,14%
05123,St. Francis AR,29%,23%,15%
05125,Saline AR,24%,20%,13%
05127,Scott AR,27%,22%,14%
05129,Searcy AR,24%,20%,13%
05131,Sebastian AR,25%,21%,13%
05133,Sevier AR,27%,22%,14%
05135,Sharp AR,27%,22%,15%
05137,Stone AR,27%,22%,15%
05139,Union AR,25%,20%,13%
05141,Van Buren AR,27%,22%,15%
05143,Washington AR,25%,20%,13%
05145,White AR,28%,23%,15%
05147,Woodruff AR,28%,23%,15%
05149,Yell AR,26%,21%,14%
06001,Alameda CA,7%,5%,2%
06003,Alpine CA,11%,8%,4%
06005,Amador CA,11%,8%,4%
06007,Butte CA,12%,8%,4%
06009,Calaveras CA,11%,8%,4%
06011,Colusa CA,13%,8%,4%
06013,Contra Costa CA,8%,5%,3%
06015,Del Norte CA,14%,9%,5%
06017,El Dorado CA,9%,6%,3%
06019,Fresno CA,12%,7%,3%
06021,Glenn CA,13%,8%,4%
06023,Humboldt CA,12%,8%,4%
06025,Imperial CA,12%,7%,4%
06027,Inyo CA,11%,8%,4%
06029,Kern CA,13%,8%,4%
06031,Kings CA,14%,9%,4%
06033,Lake CA,13%,9%,4%
06035,Lassen CA,14%,9%,5%
06037,Los Angeles CA,10%,6%,3%
06039,Madera CA,13%,8%,4%
06041,Marin CA,7%,5%,2%
06043,Mariposa CA,11%,8%,4%
06045,Mendocino CA,13%,9%,4%
06047,Merced CA,13%,8%,4%
06049,Modoc CA,14%,9%,5%
06051,Mono CA,11%,8%,4%
06053,Monterey CA,11%,7%,3%
06055,Napa CA,8%,6%,3%
06057,Nevada CA,11%,7%,4%
06059,Orange CA,8%,5%,3%
06061,Placer CA,8%,6%,3%
06063,Plumas CA,14%,9%,5%
06065,Riverside CA,11%,7%,3%
06067,Sacramento CA,11%,7%,3%
06069,San Benito CA,12%,8%,4%
06071,San Bernardino CA,12%,7%,4%
06073,San Diego CA,10%,6%,3%
06075,San Francisco CA,6%,4%,2%
06077,San Joaquin CA,11%,7%,4%
06079,San Luis Obispo CA,10%,7%,3%
06081,San Mateo CA,6%,4%,2%
06083,Santa Barbara CA,11%,7%,3%
06085,Santa Clara CA,6%,4%,2%
06087,Santa Cruz CA,9%,6%,3%
06089,Shasta CA,12%,8%,4%
06091,Sierra CA,11%,7%,4%
06093,Siskiyou CA,14%,9%,5%
06095,Solano CA,10%,6%,3%
06097,Sonoma CA,9%,6%,3%
06099,Stanislaus CA,12%,8%,4%
06101,Sutter CA,13%,8%,4%
06103,Tehama CA,13%,8%,4%
06105,Trinity CA,13%,8%,4%
06107,Tulare CA,13%,8%,4%
06109,Tuolumne CA,11%,8%,4%
06111,Ventura CA,9%,6%,3%
06113,Yolo CA,10%,6%,3%
06115,Yuba CA,13%,8%,4%
08001,Adams CO,12%,8%,5%
08003,Alamosa CO,13%,8%,5%
08005,Arapahoe CO,11%,7%,4%
08007,Archuleta CO,11%,7%,4%
08009,Baca CO,13%,8%,5%
08011,Bent CO,15%,9%,6%
08013,Boulder CO,9%,6%,3%
08014,Broomfield CO,9%,6%,3%
08015,Chaffee CO,13%,8%,5%
08017,Cheyenne CO,15%,9%,6%
08019,Clear Creek CO,7%,5%,3%
08021,Conejos CO,13%,8%,5%
08023,Costilla CO,13%,8%,5%
08025,Crowley CO,15%,9%,6%
08027,Custer CO,13%,8%,5%
08029,Delta CO,12%,8%,5%
08031,Denver CO,10%,7%,4%
08033,Dolores CO,11%,7%,4%
08035,Douglas CO,9%,6%,4%
08037,Eagle CO,10%,7%,4%
08039,Elbert CO,10%,7%,4%
08041,El Paso CO,13%,8%,5%
08043,Fremont CO,13%,8%,5%
08045,Garfield CO,13%,8%,5%
08047,Gilpin CO,7%,5%,3%
08049,Grand CO,10%,7%,4%
08051,Gunnison CO,11%,7%,4%
08053,Hinsdale CO,11%,7%,4%
08055,Huerfano CO,13%,8%,5%
08057,Jackson CO,10%,7%,4%
08059,Jefferson CO,10%,6%,4%
08061,Kiowa CO,15%,9%,6%
08063,Kit Carson CO,15%,9%,6%
08065,Lake CO,13%,8%,5%
08067,La Plata CO,11%,7%,4%
08069,Larimer CO,11%,7%,4%
08071,Las Animas CO,13%,8%,5%
08073,Lincoln CO,15%,9%,6%
08075,Logan CO,15%,9%,6%
08077,Mesa CO,14%,9%,5%
08079,Mineral CO,13%,8%,5%
08081,Moffat CO,13%,8%,5%
08083,Montezuma CO,11%,7%,4%
08085,Montrose CO,12%,8%,5%
08087,Morgan CO,15%,9%,6%
08089,Otero CO,13%,8%,5%
08091,Ouray CO,12%,8%,5%
08093,Park CO,13%,8%,5%
08095,Phillips CO,15%,9%,6%
08097,Pitkin CO,10%,7%,4%
08099,Prowers CO,13%,8%,5%
08101,Pueblo CO,13%,8%,5%
08103,Rio Blanco CO,13%,8%,5%
08105,Rio Grande CO,13%,8%,5%
08107,Routt CO,13%,8%,5%
08109,Saguache CO,13%,8%,5%
08111,San Juan CO,11%,7%,4%
08113,San Miguel CO,12%,8%,5%
08115,Sedgwick CO,15%,9%,6%
08117,Summit CO,10%,7%,4%
08119,Teller CO,14%,8%,5%
08121,Washington CO,15%,9%,6%
08123,Weld CO,12%,8%,5%
08125,Yuma CO,15%,9%,6%
09001,Fairfield CT,7%,5%,3%
09003,Hartford CT,8%,5%,3%
09005,Litchfield CT,8%,6%,3%
09007,Middlesex CT,8%,5%,3%
09009,New Haven CT,9%,6%,3%
09011,New London CT,9%,6%,3%
09013,Tolland CT,8%,6%,3%
09015,Windham CT,10%,7%,4%
10001,Kent DE,14%,7%,4%
10003,New Castle DE,12%,6%,3%
10005,Sussex DE,11%,6%,3%
11001,District of Columbia DC,8%,7%,4%
12001,Alachua FL,17%,12%,8%
12003,Baker FL,21%,16%,10%
12005,Bay FL,21%,16%,10%
12007,Bradford FL,25%,18%,12%
12009,Brevard FL,17%,13%,8%
12011,Broward FL,17%,12%,8%
12013,Calhoun FL,23%,17%,12%
12015,Charlotte FL,17%,12%,8%
12017,Citrus FL,18%,14%,9%
12019,Clay FL,19%,14%,9%
12021,Collier FL,15%,11%,7%
12023,Columbia FL,25%,18%,12%
12027,DeSoto FL,20%,14%,10%
12029,Dixie FL,25%,18%,12%
12031,Duval FL,20%,14%,9%
12033,Escambia FL,22%,15%,10%
12035,Flagler FL,17%,12%,8%
12037,Franklin FL,23%,17%,12%
12039,Gadsden FL,23%,17%,12%
12041,Gilchrist FL,25%,18%,12%
12043,Glades FL,21%,15%,10%
12045,Gulf FL,23%,17%,12%
12047,Hamilton FL,24%,17%,12%
12049,Hardee FL,20%,14%,10%
12051,Hendry FL,21%,15%,10%
12053,Hernando FL,20%,14%,10%
12055,Highlands FL,21%,14%,10%
12057,Hillsborough FL,18%,13%,8%
12059,Holmes FL,21%,16%,10%
12061,Indian River FL,17%,13%,8%
12063,Jackson FL,23%,17%,12%
12065,Jefferson FL,23%,17%,12%
12067,Lafayette FL,24%,17%,12%
12069,Lake FL,18%,13%,9%
12071,Lee FL,17%,12%,8%
12073,Leon FL,18%,12%,8%
12075,Levy FL,25%,18%,12%
12077,Liberty FL,23%,17%,12%
12079,Madison FL,24%,17%,12%
12081,Manatee FL,17%,12%,8%
12083,Marion FL,20%,14%,10%
12085,Martin FL,15%,11%,7%
12086,Miami-Dade FL,16%,11%,7%
12087,Monroe FL,19%,14%,9%
12089,Nassau FL,21%,16%,10%
12091,Okaloosa FL,21%,15%,10%
12093,Okeechobee FL,21%,15%,10%
12095,Orange FL,18%,12%,8%
12097,Osceola FL,18%,12%,8%
12099,Palm Beach FL,16%,11%,7%
12101,Pasco FL,19%,14%,9%
12103,Pinellas FL,17%,12%,8%
12105,Polk FL,20%,14%,9%
12107,Putnam FL,22%,16%,11%
12109,St. Johns FL,16%,12%,8%
12111,St. Lucie FL,19%,14%,9%
12113,Santa Rosa FL,21%,15%,10%
12115,Sarasota FL,15%,11%,7%
12117,Seminole FL,16%,11%,7%
12119,Sumter FL,15%,11%,8%
12121,Suwannee FL,24%,17%,12%
12123,Taylor FL,24%,17%,12%
12125,Union FL,25%,18%,12%
12127,Volusia FL,19%,13%,9%
12129,Wakulla FL,23%,17%,12%
12131,Walton FL,21%,16%,10%
12133,Washington FL,21%,16%,10%
13001,Appling GA,27%,19%,12%
13003,Atkinson GA,27%,19%,12%
13005,Bacon GA,27%,19%,12%
13007,Baker GA,26%,18%,11%
13009,Baldwin GA,22%,15%,9%
13011,Banks GA,24%,17%,11%
13013,Barrow GA,22%,16%,10%
13015,Bartow GA,24%,17%,11%
13017,Ben Hill GA,26%,17%,11%
13019,Berrien GA,26%,17%,11%
13021,Bibb GA,23%,15%,9%
13023,Bleckley GA,25%,17%,11%
